artist,title,palette,hash,clusters,clustering,url,filename
DarbyBannard,"""Chatumec #2""","#9F7773,#A89D99,#AA8A51,#B6736B",A848B5E6F4FF5AAB19E4,4,AgglomerativeClustering,https://www.wikiart.org/en/walter-darby-bannard/chatumec-2-1970,183469.png
DarbyBannard,"""Cherokee Blanket""","#EACC84,#F6A9B5,#CF2307",452334B03E3CBB36DDE1,3,AgglomerativeClustering,https://www.wikiart.org/en/walter-darby-bannard/cherokee-blanket-1964,183471.png
DarbyBannard,"""Green Valentine #2""","#010101,#EFD1B9,#86C9A8",4E85887EAD3E019C8816,3,AgglomerativeClustering,https://www.wikiart.org/en/walter-darby-bannard/green-valentine-2-1964,183470.png
DarbyBannard,"""Sage #3""","#97A580,#B2B4A9,#C1C2B7,#C98432",A3E0198F904DD740FC3B,4,AgglomerativeClustering,https://www.wikiart.org/en/walter-darby-bannard/sage-3-1968,183472.png
Disney,"""Aladdin 01""","#F1E6EC,#F8A448,#B2364E,#21347C,#5499DA",A38A57C34AA94A04F01F,5,AgglomerativeClustering,https://filmartgallery.com/products/aladdin-1,183464.png
Disney,"""The Lion King 01""","#F77A1D,#D90013,#8D2928",B104452E111977890AB5,3,AgglomerativeClustering,https://filmartgallery.com/products/the-lion-king,183465.png
Disney,"""The Lion King 02""","#273547,#737467,#A7B0AB,#265688",1EB115912963DD4E98E5,4,AgglomerativeClustering,https://filmartgallery.com/products/the-lion-king-1,183466.png
Disney,"""Tron 01""","#282B2C,#313B4F,#6E6D7D,#C0AFA7,#9E3D4C",0D523B5E86106BAC7B7A,5,AgglomerativeClustering,https://filmartgallery.com/products/tron-2,183468.png
Disney,"""Winnie the Pooh and Tigger Too 01""","#161411,#D8D7D8,#DBB039,#B4511F,#4DA3BC",DCB038C4C008963C3AB7,5,AgglomerativeClustering,https://filmartgallery.com/products/winnie-the-pooh-and-tigger-too,183467.png
EdnaAndrade,"""Atom Cloud""","#734950,#4B8182,#A79D96,#DAD1C5,#AF6D64",B8E300333DB2EAD2E3CF,5,AgglomerativeClustering,https://www.wikiart.org/en/edna-andrade/atom-cloud-1958,183442.png
EdnaAndrade,"""Cross""","#8B7F68,#A7A197,#ECE4E0,#E2CE96,#BA9940",B5758312CDE71EDD91C2,5,AgglomerativeClustering,https://www.wikiart.org/en/edna-andrade/cross-1962,183441.png
EdnaAndrade,"""Earth Day""","#DCCD50,#6CA663,#506AC8",7484AE051E5B984F1614,3,AgglomerativeClustering,https://www.wikiart.org/en/edna-andrade/earth-day-1970,183437.png
EdnaAndrade,"""Finale""","#D3B1C1,#9FC4E5,#EFEDDE,#FFC41A,#FCC176,#A1BE7C",8C1E0651961074BAF64D,6,AgglomerativeClustering,https://www.wikiart.org/en/edna-andrade/finale-1979,183435.png
EdnaAndrade,"""Mariposa""","#8691AC,#9BBBCB,#DBC3A8,#C8C4E4,#F5E4BF,#DFA145,#CC8D6F,#D1C87A",9EC39F3FE31EE74D3D38,8,AgglomerativeClustering,https://philamuseum.org/collection/object/273087,183439.png
EdnaAndrade,"""Short Ride""","#AD2313,#3245A6",3C30DAED90A17F8CA366,2,AgglomerativeClustering,https://www.wikiart.org/en/edna-andrade/short-ride-1969,183438.png
EdnaAndrade,"""Twilight Wave""","#949F9A,#ACB1B3,#C3C7C6,#E2E4DB,#FF9005",948280545945A0763D58,5,AgglomerativeClustering,https://www.wikiart.org/en/edna-andrade/twilight-wave-1973,183436.png
Ghibli,"""Castle in the Sky 01""","#1F231D,#485C53,#688277",31CAB71316BE96BD4A10,3,AgglomerativeClustering,https://filmartgallery.com/products/castle-in-the-sky,183402.png
Ghibli,"""Kiki 01""","#331913,#BC6A4A,#833728",4E0B74843C638E7BD2D6,3,AgglomerativeClustering,https://filmartgallery.com/products/kikis-delivery-service-1,183401.png
Ghibli,"""Mononoke 01""","#151414,#5A4440,#827F7F,#BBB5B2",0967339A464384870888,4,AgglomerativeClustering,https://filmartgallery.com/products/princess-mononoke,183404.png
Ghibli,"""Mononoke 02""","#3C3326,#5C7D66,#71B0CE,#FAD9B4,#E38E5F,#A95736",DAFCBED0C718DDE77289,6,AgglomerativeClustering,https://filmartgallery.com/products/princess-mononoke-5,183407.png
Ghibli,"""Nausicaa 01""","#39251F,#756052,#B7997F,#77AEC6,#CFC4B8",F7167BD47361404F2B7F,5,AgglomerativeClustering,https://filmartgallery.com/products/nausicaa-of-the-valley-of-the-winds-3,183400.png
Ghibli,"""Nausicaa 02""","#533F3B,#E7B578,#B67647,#17769F",25BBF1562A1460CB411C,4,AgglomerativeClustering,https://filmartgallery.com/products/nausicaa-of-the-valley-of-the-winds-4,183403.png
Ghibli,"""Nausicaa 03""","#0A0F10,#232C39,#BB8673,#93483C",411E440EB49799EDC6CD,4,AgglomerativeClustering,https://filmartgallery.com/products/nausicaa-of-the-valley-of-the-winds,183405.png
Ghibli,"""The Wind Rises 01""","#D0D2CF,#3D741D,#2F96C8",A2FFF99903488BB868BB,3,AgglomerativeClustering,https://filmartgallery.com/products/the-wind-rises?variant=39265259192491,183406.png
Kandinsky,"""Blue Mountain""","#32313B,#7E4A49,#C8B7A0,#B28A31,#2F5079",6B6DD6619BDE5E359CC7,5,AgglomerativeClustering,https://en.wikipedia.org/wiki/Wassily_Kandinsky,183431.png
