Metabolite,Compartment,Distribution
bigg.metabolite:adp,c,LogNormal|-7.709599148750169|0.22891370311682577
bigg.metabolite:amp,c,LogNormal|-7.946136577271953|0.24635681356596556
bigg.metabolite:atp,c,LogNormal|-5.9876210666881455|0.24157673235435487
bigg.metabolite:nad,c,LogNormal|-6.07020963771302|0.23660779890815806
bigg.metabolite:nadh,c,LogNormal|-9.697320274960921|0.9625473411983559
bigg.metabolite:nadp,c,LogNormal|-11.622459520696566|0.19593956054359618
bigg.metabolite:nadph,c,LogNormal|-9.446701607921714|0.2240131131973693
,c,LogNormal|-8.358485562929|2.0031220490567656
,p,LogNormal|-8.358485562929|10.015610245283828
,e,LogNormal|-8.358485562929|10.015610245283828
,,LogNormal|-8.358485562929|2.0031220490567656
